Date,COUP,PLAN,SHOP,AKAM,XRX,DLR,PAYC,PFPT,PCTY,RP,FOO.BE,WDAY,TWLO,DBX,LOGM,ZS,CSOD,NFLX,QLYS,BOX,MIME,MSFT,EVBG,SPSC,BABA,CONE,WK,GOOG,TWOU,COR,BNFT,VNET,QTS,IBM,3K1.SG
2014-01-02,,,,46.5299987792969,26.3418502807617,38.4620819091797,,32.4000015258789,,22.3999996185303,39.75,81.7699966430664,,,31.0074672698975,,52.9099998474121,51.831428527832,23.1700000762939,,,32.5820503234863,,32.2000007629395,,17.8705730438232,,554.481689453125,,25.51247215271,56.0499992370606,23.3199996948242,20.1826610565186,147.683654785156,1.81691753864288
2014-01-03,,,,46.4500007629395,26.5187854766846,38.7419776916504,,34.1800003051758,,22.4699993133545,39.810001373291,82.4700012207031,,,31.1982250213623,,53.9099998474121,51.8714294433594,24.75,,,32.3628349304199,,31.5200004577637,,17.9032802581787,,550.436828613281,,25.4561557769775,56.6599998474121,21.8299999237061,20.084566116333,148.56721496582,1.8264993429184
2014-01-06,,,,46.1100006103516,26.7399597167969,38.6642112731934,,35.0200004577637,,21.9500007629395,40.4199981689453,84.5899963378906,,,30.4924240112305,,54.9000015258789,51.3671417236328,25.6900005340576,,,31.6789379119873,,32.5050010681152,,17.8705730438232,,556.573852539063,,25.4642009735107,58.060001373291,21.7999992370605,20.0273456573486,148.057815551758,1.90955948829651
2014-01-07,,,,47.0099983215332,26.9611434936523,38.7652969360352,,36.1100006103516,,22.1800003051758,39.4599990844727,88.129997253418,,,30.9216270446777,,56.4700012207031,48.5,26.6700000762939,,,31.924446105957,,33.5400009155273,,17.9932498931885,,567.303588867188,,25.7538414001465,63.1800003051758,23.0100002288818,21.2044639587402,151.011001586914,1.84806501865387
2014-01-08,,,,46.6800003051758,26.7178440093994,38.469856262207,,36.1599998474121,,21.7000007629395,39.9500007629395,89,,,30.9883937835693,,56.7700004577637,48.7128562927246,25.3199996948242,,,31.3545227050781,,34.2750015258789,,17.9523601531982,,568.484191894531,,25.3354740142822,63.5099983215332,23.2800006866455,21.1717681884766,149.625930786133,1.9119530916214
2014-01-09,,,,47.6199989318848,26.651496887207,38.6409072875977,,35.3699989318848,,21.3999996185303,41.5,88.8399963378906,,,31.3412914276123,,55.8300018310547,48.1500015258789,25.25,,,31.1528587341309,,33.7999992370605,,17.7478885650635,,563.009704589844,,25.5929298400879,62.0699996948242,23.0300006866455,21.2535171508789,149.156311035156,1.90955948829651
2014-01-10,,,,48.2000007629395,26.5187854766846,38.8741493225098,,35.8300018310547,,21.1399993896484,40.9599990844727,89.6900024414063,,,31.3222103118896,,56.5099983215332,47.4485702514648,26.0300006866455,,,31.6000137329102,,32.4949989318848,,17.723352432251,,562.979797363281,,24.8125114440918,64.6399993896484,22.8899993896484,20.9919261932373,149.060791015625,1.91754865646362
2014-01-13,,,,46.2999992370605,27.0053730010986,39.0374145507812,,35.0299987792969,,20.5400009155273,41.2700004577637,87.879997253418,,,29.8820037841797,,53.6599998474121,48.1157150268555,25.4099998474121,,,30.6706123352051,,31.6949996948242,,17.5597801208496,,559.393249511719,,25.271110534668,64.5800018310547,22.2099990844727,21.0164527893066,146.593154907227,1.96147227287292
2014-01-14,,,,47.439998626709,27.1159572601318,39.80712890625,,35.7400016784668,,20.7099990844727,40.75,91.2900009155274,,,30.2539730072021,,55.75,48.2799987792969,27.0499992370605,,,31.3720607757568,,32.9150009155273,,17.6661033630371,,572.553955078125,,26.1561183929443,64.6999969482422,22.0300006866455,20.7793960571289,147.994110107422,1.95907890796661
2014-01-15,,,,49.1500015258789,27.4034824371338,40.8256225585938,,36.8499984741211,,21.3099994659424,42.5999984741211,90.8399963378906,,,31.9040203094482,,55.4099998474121,47.1971435546875,28.3899993896484,,,32.2313270568848,,31.4549999237061,,17.8296737670898,,572.165405273438,,26.5744876861572,69.0500030517578,23.1200008392334,20.3870220184326,149.44287109375,1.97424817085266
2014-01-16,,,,48.7400016784668,27.5140762329102,41.0744323730469,,37.6399993896484,,21.0200004577637,43.439998626709,94,,,32.1424751281738,,56.1800003051758,47.3828582763672,28.8700008392334,,,32.3453025817871,,34.3950004577637,,17.919641494751,,575.951171875,,26.5825386047363,76,24.0100002288818,20.4687690734863,150.254791259766,1.94629490375519
2014-01-17,,,,48.5800018310547,26.9832611083984,40.2502937316895,,38.1800003051758,,21.6399993896484,42.9900016784668,92.4800033569336,,,31.5129795074463,,56.2200012207031,47.1485710144043,28.5100002288818,,,31.8981456756592,,33.7350006103516,,17.8296737670898,,573.116821289063,,26.5905818939209,74.3300018310547,23.5599994659424,20.2807540893555,151.313461303711,1.94230818748474
2014-01-20,,,,,,,,,,,43.9000015258789,,,,,,,,,,,,,,,,,,,,,,,,1.9119530916214
2014-01-21,,,,48.9500007629395,26.8505516052246,41.2299194335938,,37.9900016784668,,21.6100006103516,43.7599983215332,93.1500015258789,,,33.3251571655273,,55.0499992370605,46.9585723876953,28.3899993896484,,,31.7140045166016,,33.3600006103516,,17.9932498931885,,579.67724609375,,26.8882656097412,73.7300033569336,23.1299991607666,20.3379745483398,149.992126464844,1.90317130088806
2014-01-22,,,,49.1800003051758,26.6736125946045,40.6312522888184,,37.7400016784668,,21.8899993896484,44.5499992370606,92.3199996948242,,,33.9641914367676,,55.6199989318848,47.6757125854492,28.8500003814697,,,31.5035743713379,,34.189998626709,,18.0586776733398,,580.334777832031,,26.8078117370605,72.1600036621094,22.4099998474121,20.2971000671387,145.072769165039,1.90955948829651
